,user_id,questionnaire_id,created_at,s01,s02,s03,s04,s05,s06,s07,s08
5096,1344,6,2020-04-15 04:06:01.809045227,NO,66,67.0,100.0,0.0,81.0,88.0,NO
1444,1344,6,2020-04-16 20:30:09.045226131,YES,25,26.0,66.0,26.0,36.0,28.0,NO
5986,1344,6,2020-04-18 12:54:16.281407036,YES,63,31.0,23.0,9.0,53.0,88.0,NO
672,1344,6,2020-04-20 05:18:23.517587940,YES,73,43.0,71.0,37.0,27.0,81.0,YES
5245,1344,6,2020-04-21 21:42:30.753768845,NO,41,28.0,86.0,0.0,13.0,14.0,NO
4202,1344,6,2020-04-23 14:06:37.989949749,YES,38,53.0,,,,,NO
6522,1344,6,2020-04-25 06:30:45.226130654,YES,12,19.0,95.0,5.0,16.0,27.0,NO
957,1344,6,2020-04-26 22:54:52.462311558,YES,24,28.0,75.0,11.0,0.0,45.0,YES
3738,1344,6,2020-04-28 15:18:59.698492463,YES,33,33.0,89.0,5.0,10.0,0.0,YES
577,1344,6,2020-04-30 07:43:06.934673367,NO,44,37.0,100.0,0.0,1.0,84.0,NO
6722,1344,6,2020-05-02 00:07:14.170854272,YES,99,95.0,46.0,63.0,73.0,83.0,NO
3944,1344,6,2020-05-03 16:31:21.407035176,YES,86,21.0,91.0,2.0,36.0,52.0,YES
3219,1344,6,2020-05-05 08:55:28.643216080,YES,69,65.0,69.0,33.0,3.0,22.0,NO
4540,1344,6,2020-05-07 01:19:35.879396986,YES,30,14.0,47.0,15.0,6.0,0.0,NO
5891,1344,6,2020-05-08 17:43:43.115577890,YES,48,50.0,75.0,29.0,33.0,,YES
2475,1344,6,2020-05-10 10:07:50.351758794,YES,59,46.0,59.0,27.0,0.0,23.0,NO
1715,1344,6,2020-05-12 02:31:57.587939700,YES,80,76.0,100.0,77.0,11.0,19.0,NO
1365,1344,6,2020-05-13 18:56:04.824120604,YES,80,81.0,52.0,32.0,75.0,61.0,NO
2308,1344,6,2020-05-15 11:20:12.060301508,YES,62,61.0,46.0,51.0,41.0,39.0,YES
1553,1344,6,2020-05-17 03:44:19.296482412,NO,34,24.0,68.0,22.0,0.0,18.0,NO
4589,1344,6,2020-05-18 20:08:26.532663318,YES,50,58.0,51.0,46.0,43.0,55.0,NO
1308,1344,6,2020-05-20 12:32:33.768844222,YES,51,58.0,54.0,50.0,39.0,39.0,YES
4686,1344,6,2020-05-22 04:56:41.005025126,NO,58,0.0,100.0,0.0,16.0,0.0,NO
5608,1344,6,2020-05-23 21:20:48.241206030,YES,46,26.0,26.0,15.0,41.0,57.0,NO
1194,1344,6,2020-05-25 13:44:55.477386936,NO,38,14.0,83.0,12.0,0.0,0.0,NO
733,1344,6,2020-05-27 06:09:02.713567840,YES,44,11.0,79.0,9.0,0.0,0.0,NO
3927,1344,6,2020-05-28 22:33:09.949748744,YES,84,22.0,83.0,8.0,3.0,32.0,YES
725,1344,6,2020-05-30 14:57:17.185929648,YES,55,28.0,76.0,29.0,6.0,5.0,NO
4982,1344,6,2020-06-01 07:21:24.422110554,YES,58,74.0,100.0,0.0,16.0,71.0,NO
4241,1344,6,2020-06-02 23:45:31.658291458,YES,37,41.0,41.0,35.0,25.0,22.0,YES
5505,1344,6,2020-06-04 16:09:38.894472362,YES,77,79.0,100.0,0.0,72.0,75.0,NO
7285,1344,6,2020-06-06 08:33:46.130653268,YES,83,83.0,100.0,7.0,69.0,32.0,NO
3713,1344,6,2020-06-08 00:57:53.366834172,YES,32,19.0,80.0,24.0,28.0,34.0,NO
445,1344,6,2020-06-09 17:22:00.603015076,YES,78,76.0,49.0,37.0,57.0,48.0,YES
3315,1344,6,2020-06-11 09:46:07.839195980,YES,80,82.0,100.0,2.0,1.0,0.0,NO
3085,1344,6,2020-06-13 02:10:15.075376886,YES,63,66.0,33.0,53.0,58.0,73.0,YES
4971,1344,6,2020-06-14 18:34:22.311557790,YES,24,15.0,82.0,14.0,14.0,14.0,NO
6124,1344,6,2020-06-16 10:58:29.547738694,NO,56,23.0,89.0,8.0,22.0,13.0,NO
5208,1344,6,2020-06-18 03:22:36.783919598,YES,92,82.0,63.0,28.0,52.0,77.0,NO
951,1344,6,2020-06-19 19:46:44.020100504,NO,19,10.0,71.0,14.0,3.0,0.0,NO
4453,1344,6,2020-06-21 12:10:51.256281408,YES,57,54.0,100.0,0.0,57.0,23.0,
6418,1344,6,2020-06-23 04:34:58.492462312,YES,84,18.0,92.0,8.0,13.0,21.0,YES
2273,1344,6,2020-06-24 20:59:05.728643216,YES,95,97.0,55.0,44.0,52.0,49.0,NO
206,1344,6,2020-06-26 13:23:12.964824122,YES,3,3.0,97.0,3.0,4.0,0.0,NO
794,1344,6,2020-06-28 05:47:20.201005026,YES,67,63.0,63.0,53.0,42.0,37.0,NO
1027,1344,6,2020-06-29 22:11:27.437185930,YES,29,17.0,65.0,18.0,27.0,17.0,YES
7221,1344,6,2020-07-01 14:35:34.673366836,YES,49,51.0,72.0,18.0,10.0,2.0,YES
6805,1344,6,2020-07-03 06:59:41.909547740,YES,71,77.0,100.0,0.0,71.0,59.0,NO
2161,1344,6,2020-07-04 23:23:49.145728644,YES,71,64.0,57.0,42.0,48.0,36.0,YES
5144,1344,6,2020-07-06 15:47:56.381909548,YES,78,84.0,100.0,0.0,53.0,100.0,NO
6381,1344,6,2020-07-08 08:12:03.618090454,YES,65,56.0,90.0,8.0,80.0,58.0,YES
6811,1344,6,2020-07-10 00:36:10.854271358,YES,78,78.0,7.0,91.0,77.0,75.0,NO
147,1344,6,2020-07-11 17:00:18.090452262,NO,49,25.0,23.0,0.0,48.0,5.0,YES
4814,1344,6,2020-07-13 09:24:25.326633166,YES,31,25.0,100.0,0.0,17.0,30.0,NO
2961,1344,6,2020-07-15 01:48:32.562814072,YES,82,73.0,60.0,58.0,33.0,33.0,NO
2989,1344,6,2020-07-16 18:12:39.798994976,YES,36,32.0,74.0,18.0,10.0,4.0,YES
5110,1344,6,2020-07-18 10:36:47.035175880,YES,100,100.0,76.0,17.0,0.0,0.0,NO
3852,1344,6,2020-07-20 03:00:54.271356784,NO,26,43.0,67.0,50.0,0.0,0.0,NO
4577,1344,6,2020-07-21 19:25:01.507537690,YES,85,82.0,77.0,0.0,28.0,57.0,NO
5401,1344,6,2020-07-23 11:49:08.743718594,YES,35,34.0,80.0,16.0,23.0,27.0,NO
1438,1344,6,2020-07-25 04:13:15.979899498,YES,100,100.0,100.0,65.0,24.0,0.0,NO
2453,1344,6,2020-07-26 20:37:23.216080402,YES,79,72.0,82.0,39.0,21.0,24.0,NO
1778,1344,6,2020-07-28 13:01:30.452261308,YES,12,11.0,92.0,6.0,8.0,8.0,NO
6661,1344,6,2020-07-30 05:25:37.688442212,YES,42,33.0,33.0,65.0,0.0,32.0,NO
5976,1344,6,2020-07-31 21:49:44.924623116,YES,15,17.0,79.0,19.0,17.0,16.0,NO
2359,1344,6,2020-08-02 14:13:52.160804022,YES,87,84.0,58.0,56.0,0.0,7.0,NO
6634,1344,6,2020-08-04 06:37:59.396984926,YES,19,21.0,80.0,21.0,17.0,15.0,NO
5870,1344,6,2020-08-05 23:02:06.633165830,YES,96,84.0,54.0,67.0,69.0,65.0,NO
5052,1344,6,2020-08-07 15:26:13.869346734,NO,0,1.0,100.0,2.0,0.0,20.0,NO
5454,1344,6,2020-08-09 07:50:21.105527640,YES,84,46.0,91.0,23.0,12.0,18.0,NO
6457,1344,6,2020-08-11 00:14:28.341708544,YES,75,82.0,100.0,0.0,70.0,59.0,NO
2175,1344,6,2020-08-12 16:38:35.577889448,YES,87,81.0,100.0,0.0,10.0,7.0,NO
4171,1344,6,2020-08-14 09:02:42.814070352,YES,75,78.0,48.0,43.0,72.0,69.0,NO
5319,1344,6,2020-08-16 01:26:50.050251258,YES,26,24.0,26.0,17.0,0.0,17.0,NO
6156,1344,6,2020-08-17 17:50:57.286432160,NO,41,15.0,97.0,5.0,61.0,45.0,NO
6660,1344,6,2020-08-19 10:15:04.522613068,YES,50,64.0,53.0,62.0,39.0,60.0,NO
1453,1344,6,2020-08-21 02:39:11.758793972,YES,44,35.0,41.0,32.0,65.0,36.0,NO
1992,1344,6,2020-08-22 19:03:18.994974876,YES,84,81.0,52.0,58.0,0.0,0.0,NO
2189,1344,6,2020-08-24 11:27:26.231155780,YES,76,86.0,56.0,66.0,53.0,55.0,NO
6460,1344,6,2020-08-26 03:51:33.467336684,YES,71,9.0,89.0,4.0,7.0,39.0,YES
198,1344,6,2020-08-27 20:15:40.703517588,YES,87,83.0,63.0,60.0,89.0,75.0,NO
4039,1344,6,2020-08-29 12:39:47.939698492,YES,87,7.0,94.0,13.0,9.0,36.0,YES
3102,1344,6,2020-08-31 05:03:55.175879400,YES,90,71.0,100.0,0.0,0.0,0.0,NO
6309,1344,6,2020-09-01 21:28:02.412060304,NO,53,17.0,33.0,39.0,10.0,10.0,NO
5923,1344,6,2020-09-03 13:52:09.648241208,YES,36,22.0,49.0,31.0,15.0,1.0,NO
1649,1344,6,2020-09-05 06:16:16.884422112,YES,30,28.0,79.0,17.0,3.0,11.0,YES
4304,1344,6,2020-09-06 22:40:24.120603016,YES,82,34.0,78.0,35.0,32.0,36.0,NO
4535,1344,6,2020-09-08 15:04:31.356783920,YES,58,37.0,100.0,0.0,16.0,17.0,NO
3393,1344,6,2020-09-10 07:28:38.592964824,YES,82,83.0,100.0,0.0,7.0,14.0,NO
2965,1344,6,2020-09-11 23:52:45.829145728,YES,33,30.0,72.0,5.0,23.0,0.0,YES
3286,1344,6,2020-09-13 16:16:53.065326636,YES,83,73.0,81.0,17.0,22.0,24.0,NO
2103,1344,6,2020-09-15 08:41:00.301507540,YES,8,2.0,80.0,0.0,0.0,0.0,YES
122,1344,6,2020-09-17 01:05:07.537688444,YES,49,50.0,49.0,33.0,33.0,39.0,NO
6597,1344,6,2020-09-18 17:29:14.773869348,YES,93,34.0,96.0,6.0,29.0,88.0,YES
5421,1344,6,2020-09-20 09:53:22.010050252,YES,75,75.0,76.0,5.0,47.0,50.0,NO
3121,1344,6,2020-09-22 02:17:29.246231156,YES,48,60.0,79.0,20.0,26.0,46.0,YES
546,1344,6,2020-09-23 18:41:36.482412060,NO,42,35.0,31.0,30.0,28.0,30.0,YES
5249,1344,6,2020-09-25 11:05:43.718592968,NO,58,26.0,96.0,3.0,27.0,45.0,NO
6118,1344,6,2020-09-27 03:29:50.954773872,YES,42,47.0,82.0,19.0,33.0,42.0,NO
6188,1344,6,2020-09-28 19:53:58.190954776,NO,62,66.0,85.0,15.0,76.0,63.0,
1812,1344,6,2020-09-30 12:18:05.427135680,YES,73,70.0,57.0,48.0,44.0,49.0,NO
6514,1344,6,2020-10-02 04:42:12.663316584,YES,17,23.0,83.0,26.0,15.0,15.0,NO
5344,1344,6,2020-10-03 21:06:19.899497488,YES,47,33.0,27.0,26.0,23.0,69.0,NO
4409,1344,6,2020-10-05 13:30:27.135678392,YES,78,77.0,100.0,0.0,78.0,51.0,NO
2976,1344,6,2020-10-07 05:54:34.371859296,YES,61,58.0,57.0,33.0,37.0,41.0,YES
5543,1344,6,2020-10-08 22:18:41.608040204,YES,58,59.0,100.0,0.0,39.0,34.0,NO
1467,1344,6,2020-10-10 14:42:48.844221108,YES,4,4.0,94.0,4.0,5.0,4.0,NO
4596,1344,6,2020-10-12 07:06:56.080402012,YES,83,37.0,89.0,4.0,14.0,46.0,YES
162,1344,6,2020-10-13 23:31:03.316582916,YES,3,4.0,95.0,4.0,0.0,0.0,NO
1336,1344,6,2020-10-15 15:55:10.552763820,NO,44,37.0,53.0,52.0,40.0,28.0,NO
4100,1344,6,2020-10-17 08:19:17.788944724,YES,89,4.0,94.0,6.0,4.0,24.0,YES
4691,1344,6,2020-10-19 00:43:25.025125628,YES,17,11.0,88.0,13.0,11.0,24.0,NO
5908,1344,6,2020-10-20 17:07:32.261306536,YES,18,18.0,87.0,0.0,25.0,22.0,NO
6736,1344,6,2020-10-22 09:31:39.497487440,YES,87,87.0,96.0,0.0,91.0,58.0,YES
850,1344,6,2020-10-24 01:55:46.733668344,YES,16,15.0,77.0,23.0,32.0,34.0,NO
2694,1344,6,2020-10-25 18:19:53.969849248,YES,72,6.0,77.0,3.0,0.0,5.0,NO
5341,1344,6,2020-10-27 10:44:01.206030152,YES,49,19.0,65.0,12.0,14.0,,NO
803,1344,6,2020-10-29 03:08:08.442211056,NO,47,28.0,66.0,22.0,18.0,26.0,YES
7228,1344,6,2020-10-30 19:32:15.678391960,YES,59,59.0,100.0,0.0,67.0,60.0,NO
3047,1344,6,2020-11-01 11:56:22.914572864,YES,75,73.0,54.0,47.0,72.0,47.0,NO
1205,1344,6,2020-11-03 04:20:30.150753772,YES,71,69.0,73.0,60.0,13.0,41.0,NO
6252,1344,6,2020-11-04 20:44:37.386934676,YES,100,100.0,75.0,20.0,100.0,89.0,YES
3242,1344,6,2020-11-06 13:08:44.623115580,YES,80,79.0,56.0,49.0,72.0,44.0,NO
678,1344,6,2020-11-08 05:32:51.859296484,NO,23,29.0,75.0,34.0,45.0,83.0,NO
5231,1344,6,2020-11-09 21:56:59.095477388,NO,44,40.0,96.0,9.0,33.0,36.0,NO
6678,1344,6,2020-11-11 14:21:06.331658292,NO,53,30.0,85.0,13.0,0.0,0.0,NO
6491,1344,6,2020-11-13 06:45:13.567839196,YES,20,24.0,73.0,24.0,7.0,18.0,NO
2488,1344,6,2020-11-14 23:09:20.804020104,NO,54,29.0,67.0,27.0,13.0,23.0,NO
5536,1344,6,2020-11-16 15:33:28.040201008,YES,21,12.0,,,13.0,,NO
5999,1344,6,2020-11-18 07:57:35.276381912,NO,14,13.0,100.0,100.0,16.0,48.0,NO
3471,1344,6,2020-11-20 00:21:42.512562816,YES,81,81.0,50.0,51.0,35.0,60.0,NO
1939,1344,6,2020-11-21 16:45:49.748743720,YES,29,30.0,68.0,35.0,16.0,30.0,YES
3104,1344,6,2020-11-23 09:09:56.984924624,YES,85,65.0,64.0,53.0,12.0,13.0,NO
1849,1344,6,2020-11-25 01:34:04.221105528,NO,27,14.0,91.0,0.0,36.0,37.0,NO
368,1344,6,2020-11-26 17:58:11.457286432,NO,43,25.0,42.0,59.0,30.0,19.0,YES
2289,1344,6,2020-11-28 10:22:18.693467340,YES,86,83.0,71.0,43.0,42.0,48.0,NO
2381,1344,6,2020-11-30 02:46:25.929648244,YES,77,71.0,91.0,44.0,24.0,28.0,NO
634,1344,6,2020-12-01 19:10:33.165829148,YES,24,16.0,86.0,9.0,0.0,0.0,NO
4046,1344,6,2020-12-03 11:34:40.402010052,YES,86,38.0,80.0,32.0,32.0,34.0,NO
6042,1344,6,2020-12-05 03:58:47.638190956,YES,9,7.0,87.0,13.0,10.0,23.0,NO
5439,1344,6,2020-12-06 20:22:54.874371860,YES,40,22.0,61.0,43.0,35.0,30.0,NO
6421,1344,6,2020-12-08 12:47:02.110552764,YES,35,36.0,74.0,15.0,17.0,,NO
5325,1344,6,2020-12-10 05:11:09.346733672,YES,27,23.0,91.0,3.0,44.0,36.0,NO
5004,1344,6,2020-12-11 21:35:16.582914576,YES,76,58.0,29.0,51.0,26.0,44.0,NO
2364,1344,6,2020-12-13 13:59:23.819095480,YES,59,81.0,63.0,0.0,100.0,100.0,NO
5736,1344,6,2020-12-15 06:23:31.055276384,YES,61,66.0,54.0,62.0,0.0,0.0,YES
5749,1344,6,2020-12-16 22:47:38.291457288,YES,61,57.0,25.0,65.0,22.0,16.0,NO
5358,1344,6,2020-12-18 15:11:45.527638192,YES,56,53.0,93.0,14.0,44.0,47.0,NO
3053,1344,6,2020-12-20 07:35:52.763819096,YES,87,76.0,85.0,23.0,35.0,30.0,NO
2203,1344,6,2020-12-22 00:00:00,YES,100,100.0,100.0,54.0,0.0,0.0,NO
4651,1345,6,2020-01-22 00:00:00,YES,64,58.0,100.0,0.0,15.0,29.0,NO
2921,1345,6,2020-01-26 05:46:19.746835443,YES,68,65.0,53.0,50.0,45.0,44.0,NO
121,1345,6,2020-01-30 11:32:39.493670886,YES,64,63.0,32.0,35.0,19.0,49.0,NO
6968,1345,6,2020-02-03 17:18:59.240506329,YES,39,21.0,70.0,31.0,20.0,23.0,NO
5052,1345,6,2020-02-07 23:05:18.987341772,NO,0,1.0,100.0,2.0,0.0,20.0,NO
5038,1345,6,2020-02-12 04:51:38.734177215,NO,68,24.0,88.0,3.0,1.0,40.0,NO
1425,1345,6,2020-02-16 10:37:58.481012658,YES,80,80.0,55.0,46.0,72.0,51.0,NO
6856,1345,6,2020-02-20 16:24:18.227848101,NO,91,15.0,93.0,1.0,12.0,17.0,NO
1359,1345,6,2020-02-24 22:10:37.974683544,YES,38,23.0,76.0,32.0,29.0,26.0,NO
4807,1345,6,2020-02-29 03:56:57.721518987,YES,68,49.0,100.0,0.0,35.0,33.0,NO
1588,1345,6,2020-03-04 09:43:17.468354430,NO,49,21.0,63.0,16.0,0.0,36.0,NO
4626,1345,6,2020-03-08 15:29:37.215189873,YES,46,22.0,,42.0,17.0,23.0,NO
1713,1345,6,2020-03-12 21:15:56.962025317,YES,14,15.0,70.0,8.0,9.0,0.0,YES
5796,1345,6,2020-03-17 03:02:16.708860760,YES,79,75.0,52.0,52.0,74.0,70.0,NO
4309,1345,6,2020-03-21 08:48:36.455696203,YES,81,37.0,70.0,38.0,38.0,38.0,NO
1836,1345,6,2020-03-25 14:34:56.202531646,YES,100,100.0,100.0,0.0,0.0,0.0,NO
7342,1345,6,2020-03-29 20:21:15.949367089,YES,89,23.0,93.0,2.0,3.0,31.0,YES
981,1345,6,2020-04-03 02:07:35.696202532,YES,77,76.0,62.0,56.0,51.0,50.0,NO
3399,1345,6,2020-04-07 07:53:55.443037975,YES,46,38.0,65.0,37.0,33.0,26.0,YES
1575,1345,6,2020-04-11 13:40:15.189873418,YES,78,41.0,59.0,62.0,30.0,22.0,YES
3344,1345,6,2020-04-15 19:26:34.936708861,NO,47,19.0,58.0,11.0,10.0,33.0,NO
4461,1345,6,2020-04-20 01:12:54.683544304,YES,72,74.0,28.0,64.0,63.0,67.0,NO
4410,1345,6,2020-04-24 06:59:14.430379747,YES,17,11.0,84.0,9.0,88.0,47.0,NO
5154,1345,6,2020-04-28 12:45:34.177215190,YES,81,61.0,27.0,48.0,48.0,38.0,NO
3129,1345,6,2020-05-02 18:31:53.924050634,YES,84,81.0,54.0,47.0,74.0,47.0,NO
3294,1345,6,2020-05-07 00:18:13.670886076,YES,31,36.0,74.0,26.0,40.0,43.0,NO
4621,1345,6,2020-05-11 06:04:33.417721520,NO,40,20.0,100.0,0.0,0.0,0.0,NO
2956,1345,6,2020-05-15 11:50:53.164556962,YES,32,25.0,83.0,2.0,0.0,0.0,YES
5011,1345,6,2020-05-19 17:37:12.911392406,YES,41,41.0,35.0,38.0,29.0,25.0,NO
6094,1345,6,2020-05-23 23:23:32.658227848,YES,39,50.0,89.0,21.0,42.0,59.0,
1899,1345,6,2020-05-28 05:09:52.405063292,YES,84,54.0,68.0,38.0,41.0,29.0,YES
5299,1345,6,2020-06-01 10:56:12.151898734,NO,44,17.0,22.0,14.0,52.0,84.0,NO
6684,1345,6,2020-06-05 16:42:31.898734178,YES,82,92.0,47.0,69.0,83.0,91.0,NO
459,1345,6,2020-06-09 22:28:51.645569622,YES,84,83.0,52.0,46.0,75.0,58.0,NO
3659,1345,6,2020-06-14 04:15:11.392405064,YES,87,89.0,100.0,0.0,0.0,11.0,NO
2020,1345,6,2020-06-18 10:01:31.139240508,YES,100,100.0,79.0,100.0,66.0,21.0,NO
5100,1345,6,2020-06-22 15:47:50.886075950,YES,46,36.0,79.0,18.0,23.0,26.0,NO
2919,1345,6,2020-06-26 21:34:10.632911394,YES,73,66.0,62.0,62.0,0.0,19.0,NO
1419,1345,6,2020-07-01 03:20:30.379746836,YES,89,10.0,80.0,20.0,5.0,1.0,NO
6739,1345,6,2020-07-05 09:06:50.126582280,YES,87,81.0,81.0,45.0,1.0,32.0,NO
3103,1345,6,2020-07-09 14:53:09.873417722,YES,10,9.0,93.0,7.0,7.0,9.0,NO
4337,1345,6,2020-07-13 20:39:29.620253166,YES,77,0.0,87.0,3.0,40.0,38.0,YES
5791,1345,6,2020-07-18 02:25:49.367088608,YES,68,67.0,100.0,0.0,82.0,67.0,NO
927,1345,6,2020-07-22 08:12:09.113924052,YES,84,52.0,68.0,31.0,1.0,0.0,YES
6106,1345,6,2020-07-26 13:58:28.860759494,NO,64,35.0,89.0,8.0,42.0,27.0,NO
5883,1345,6,2020-07-30 19:44:48.607594938,NO,56,38.0,95.0,4.0,42.0,18.0,NO
2656,1345,6,2020-08-04 01:31:08.354430380,YES,37,26.0,74.0,22.0,58.0,38.0,NO
4867,1345,6,2020-08-08 07:17:28.101265824,YES,78,63.0,36.0,28.0,31.0,61.0,NO
5383,1345,6,2020-08-12 13:03:47.848101268,YES,56,33.0,100.0,0.0,24.0,0.0,NO
4103,1345,6,2020-08-16 18:50:07.594936710,YES,95,94.0,100.0,1.0,2.0,1.0,NO
3109,1345,6,2020-08-21 00:36:27.341772152,YES,74,65.0,80.0,1.0,1.0,19.0,YES
4034,1345,6,2020-08-25 06:22:47.088607596,NO,0,0.0,73.0,51.0,0.0,23.0,NO
429,1345,6,2020-08-29 12:09:06.835443040,YES,54,51.0,45.0,44.0,44.0,39.0,YES
1371,1345,6,2020-09-02 17:55:26.582278484,YES,38,32.0,68.0,33.0,57.0,43.0,NO
6070,1345,6,2020-09-06 23:41:46.329113924,NO,51,0.0,87.0,14.0,0.0,0.0,NO
1469,1345,6,2020-09-11 05:28:06.075949368,YES,50,51.0,48.0,47.0,35.0,43.0,YES
6465,1345,6,2020-09-15 11:14:25.822784812,YES,67,69.0,84.0,9.0,39.0,53.0,NO
5734,1345,6,2020-09-19 17:00:45.569620256,YES,52,44.0,38.0,66.0,73.0,71.0,NO
7238,1345,6,2020-09-23 22:47:05.316455696,NO,64,28.0,92.0,0.0,24.0,44.0,NO
5917,1345,6,2020-09-28 04:33:25.063291140,YES,37,22.0,75.0,22.0,21.0,33.0,NO
1728,1345,6,2020-10-02 10:19:44.810126584,YES,84,100.0,100.0,27.0,17.0,45.0,NO
6627,1345,6,2020-10-06 16:06:04.556962028,YES,67,18.0,95.0,2.0,15.0,16.0,NO
6228,1345,6,2020-10-10 21:52:24.303797468,YES,89,97.0,22.0,90.0,86.0,100.0,NO
6740,1345,6,2020-10-15 03:38:44.050632912,NO,10,3.0,72.0,5.0,8.0,36.0,YES
