"id";"questiontype";"label";"values";"condition";"required";"restricted_to";"deleted_at";"created_at";"updated_at";"id";"element_question_id";"locale";"question";"answers";"deleted_at";"created_at";"updated_at"
"6";"Slider";"s06";"{""min"":0,""max"":100,""step"":1}";NULL;"0";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"11";"6";"de";"Wie gestresst fühlen Sie sich gerade?";"[{""value"":0,""label"":""nicht gestresst"",""icon"":""\uf118""},{""value"":100,""label"":""maximale Stressbelastung"",""icon"":""\uf119""}]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"6";"Slider";"s06";"{""min"":0,""max"":100,""step"":1}";NULL;"0";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"12";"6";"en";"Do you feel stressed right now?";"[{""value"":0,""label"":""not stressed"",""icon"":""\uf118""},{""value"":100,""label"":""maximal stressed"",""icon"":""\uf119""}]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"7";"Slider";"s07";"{""min"":0,""max"":100,""step"":1}";NULL;"0";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"13";"7";"de";"Wie erschöpft fühlen Sie sich im Moment?";"[{""value"":0,""label"":""gar nicht"",""icon"":""\uf118""},{""value"":100,""label"":""maximal ersch\u00f6pft"",""icon"":""\uf119""}]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"7";"Slider";"s07";"{""min"":0,""max"":100,""step"":1}";NULL;"0";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"14";"7";"en";"How exhausted do you feel right now?";"[{""value"":0,""label"":""not at all"",""icon"":""\uf118""},{""value"":100,""label"":""maximal exhausted"",""icon"":""\uf119""}]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"8";"YesNoSwitch";"s08";"[""YES"",""NO""]";NULL;"0";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"15";"8";"de";"Tragen Sie gerade ein Hörgerät?";"[""Ja"",""Nein""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"8";"YesNoSwitch";"s08";"[""YES"",""NO""]";NULL;"0";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"16";"8";"en";"Are you wearing a hearing aid right now?";"[""Yes"",""No""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"9";"SingleChoice";"mtq01";"[""TRUE"",""PARTLYTRUE"",""NOTTRUE""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"17";"9";"de";"Ich bin mir der Ohrgeräusche vom Aufwachen bis zum Schlafengehen bewußt.";"[""Stimmt"",""Stimmt teilweise"",""Stimmt nicht""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"9";"SingleChoice";"mtq01";"[""TRUE"",""PARTLYTRUE"",""NOTTRUE""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"18";"9";"en";"I am aware of the noises from the moment I get up to the moment I sleep.";"[""True"",""Partly true"",""Not true""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"10";"SingleChoice";"mtq02";"[""TRUE"",""PARTLYTRUE"",""NOTTRUE""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"19";"10";"de";"Ich mache mir wegen der Ohrgeräusche Sorgen, ob mit meinem Körper ernstlich etwas nicht in Ordnung ist.";"[""Stimmt"",""Stimmt teilweise"",""Stimmt nicht""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"10";"SingleChoice";"mtq02";"[""TRUE"",""PARTLYTRUE"",""NOTTRUE""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"20";"10";"en";"Because of the noises I worry that there is something seriously wrong with my body.";"[""True"",""Partly true"",""Not true""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"11";"SingleChoice";"mtq03";"[""TRUE"",""PARTLYTRUE"",""NOTTRUE""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"21";"11";"de";"Wenn die Ohrgeräusche andauern, wird mein Leben nicht mehr lebenswert sein.";"[""Stimmt"",""Stimmt teilweise"",""Stimmt nicht""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"11";"SingleChoice";"mtq03";"[""TRUE"",""PARTLYTRUE"",""NOTTRUE""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"22";"11";"en";"If the noises continue my life will not be worth living.";"[""True"",""Partly true"",""Not true""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"12";"SingleChoice";"mtq04";"[""TRUE"",""PARTLYTRUE"",""NOTTRUE""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"23";"12";"de";"Auf Grund der Ohrgeräusche bin ich mit meiner Familie und meinen Freunden gereizter.";"[""Stimmt"",""Stimmt teilweise"",""Stimmt nicht""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"12";"SingleChoice";"mtq04";"[""TRUE"",""PARTLYTRUE"",""NOTTRUE""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"24";"12";"en";"I am more irritable with my family and friends because of the noises.";"[""True"",""Partly true"",""Not true""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"13";"SingleChoice";"mtq05";"[""TRUE"",""PARTLYTRUE"",""NOTTRUE""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"25";"13";"de";"Ich sorge mich, dass die Ohrgeräusche meine körperliche Gesundheit schädigen könnten.";"[""Stimmt"",""Stimmt teilweise"",""Stimmt nicht""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"13";"SingleChoice";"mtq05";"[""TRUE"",""PARTLYTRUE"",""NOTTRUE""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"26";"13";"en";"I worry that the noises might damage my physical health.";"[""True"",""Partly true"",""Not true""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"14";"SingleChoice";"mtq06";"[""TRUE"",""PARTLYTRUE"",""NOTTRUE""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"27";"14";"de";"Wegen der Ohrgeräusche fällt es mir schwer, mich zu entspannen.";"[""Stimmt"",""Stimmt teilweise"",""Stimmt nicht""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"14";"SingleChoice";"mtq06";"[""TRUE"",""PARTLYTRUE"",""NOTTRUE""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"28";"14";"en";"I find it harder to relax because of the noises.";"[""True"",""Partly true"",""Not true""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"15";"SingleChoice";"mtq07";"[""TRUE"",""PARTLYTRUE"",""NOTTRUE""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"29";"15";"de";"Oft sind meine Ohrgeräusche so schlimm, dass ich sie nicht ignorieren kann.";"[""Stimmt"",""Stimmt teilweise"",""Stimmt nicht""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"15";"SingleChoice";"mtq07";"[""TRUE"",""PARTLYTRUE"",""NOTTRUE""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"30";"15";"en";"My noises are often so bad that I cannot ignore them.";"[""True"",""Partly true"",""Not true""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"16";"SingleChoice";"mtq08";"[""TRUE"",""PARTLYTRUE"",""NOTTRUE""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"31";"16";"de";"Wegen der Ohrgeräusche brauche ich länger zum Einschlafen.";"[""Stimmt"",""Stimmt teilweise"",""Stimmt nicht""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"16";"SingleChoice";"mtq08";"[""TRUE"",""PARTLYTRUE"",""NOTTRUE""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"32";"16";"en";"It takes me longer to get to sleep because of the noises.";"[""True"",""Partly true"",""Not true""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"17";"SingleChoice";"mtq09";"[""TRUE"",""PARTLYTRUE"",""NOTTRUE""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"33";"17";"de";"Wegen der Ohrgeräusche bin ich leichter niedergeschlagen.";"[""Stimmt"",""Stimmt teilweise"",""Stimmt nicht""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"17";"SingleChoice";"mtq09";"[""TRUE"",""PARTLYTRUE"",""NOTTRUE""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"34";"17";"en";"I am more liable to feel low because of the noises.";"[""True"",""Partly true"",""Not true""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"18";"SingleChoice";"mtq10";"[""TRUE"",""PARTLYTRUE"",""NOTTRUE""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"35";"18";"de";"Ich denke oft darüber nach, ob die Ohrgeräusche jemals weggehen werden.";"[""Stimmt"",""Stimmt teilweise"",""Stimmt nicht""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"18";"SingleChoice";"mtq10";"[""TRUE"",""PARTLYTRUE"",""NOTTRUE""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"36";"18";"en";"I often think about whether the noises will ever go away.";"[""True"",""Partly true"",""Not true""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"19";"SingleChoice";"mtq11";"[""TRUE"",""PARTLYTRUE"",""NOTTRUE""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"37";"19";"de";"Ich bin Opfer meiner Ohrgeräusche.";"[""Stimmt"",""Stimmt teilweise"",""Stimmt nicht""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"19";"SingleChoice";"mtq11";"[""TRUE"",""PARTLYTRUE"",""NOTTRUE""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"38";"19";"en";"I am a victim of my noises.";"[""True"",""Partly true"",""Not true""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"20";"SingleChoice";"mtq12";"[""TRUE"",""PARTLYTRUE"",""NOTTRUE""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"39";"20";"de";"Die Ohrgeräusche haben meine Konzentration beeinträchtigt.";"[""Stimmt"",""Stimmt teilweise"",""Stimmt nicht""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"20";"SingleChoice";"mtq12";"[""TRUE"",""PARTLYTRUE"",""NOTTRUE""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"40";"20";"en";"The noises have affected my concentration.";"[""True"",""Partly true"",""Not true""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"21";"TextDate";"tschq01";"null";NULL;"1";"PAST";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"41";"21";"de";"Geburtsdatum";"[]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"21";"TextDate";"tschq01";"null";NULL;"1";"PAST";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"42";"21";"en";"Date of Birth";"[]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"22";"SingleChoice";"tschq02";"[""MALE"",""FEMALE""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"43";"22";"de";"Geschlecht";"[""M\u00e4nnlich"",""Weiblich""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"22";"SingleChoice";"tschq02";"[""MALE"",""FEMALE""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"44";"22";"en";"Gender";"[""Male"",""Female""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"23";"SingleChoice";"tschq03";"[""RIGHT"",""LEFT"",""BOTH""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"45";"23";"de";"Händigkeit";"[""Rechts"",""Links"",""Beidseitig""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"23";"SingleChoice";"tschq03";"[""RIGHT"",""LEFT"",""BOTH""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"46";"23";"en";"Handedness";"[""Right"",""Left"",""Both Sides""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"24";"YesNoSwitch";"tschq04-1";"[""YES"",""NO""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"47";"24";"de";"Tinnitus-Beschwerden in der Familie";"[""Ja"",""Nein""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"24";"YesNoSwitch";"tschq04-1";"[""YES"",""NO""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"48";"24";"en";"Family history of tinnitus complaints";"[""Yes"",""No""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"25";"MultipleChoice";"tschq04-2";"[""PARENTS"",""SIBLINGS"",""CHILDREN""]";NULL;"0";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"49";"25";"de";"Wenn ja";"[""Eltern"",""Geschwister"",""Kinder""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"25";"MultipleChoice";"tschq04-2";"[""PARENTS"",""SIBLINGS"",""CHILDREN""]";NULL;"0";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"50";"25";"en";"If yes";"[""Parents"",""Siblings"",""Children""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"26";"SingleChoice";"tschq05";"[""3DAYS"",""LESSTHAN6MONTHS"",""6-12MONTHS"",""1-2YEARS"",""3-5YEARS"",""5-10YEARS"",""MORETHAN10YEARS""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"51";"26";"de";"Beginn des Tinnitus: Wie lange nehmen Sie den Tinnitus schon wahr?";"[""in den letzten 3 Tagen begonnen"",""weniger als 6 Monate"",""6 - 12 Monate"",""1 - 2 Jahre"",""3 - 5 Jahre"",""5 - 10 Jahre"",""\u00fcber 10 Jahre""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"26";"SingleChoice";"tschq05";"[""3DAYS"",""LESSTHAN6MONTHS"",""6-12MONTHS"",""1-2YEARS"",""3-5YEARS"",""5-10YEARS"",""MORETHAN10YEARS""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"52";"26";"en";"Initial onset: For how long have you been experiencing your tinnitus?";"[""started in the last 3 days"",""less than 6 months"",""6 - 12 years"",""1 - 2 years"",""3 - 5 years"",""5 - 10 years"",""more than 10 years""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"27";"SingleChoice";"tschq06";"[""GRADUAL"",""ABRUPT""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"53";"27";"de";"Wie haben Sie den Beginn wahrgenommen?";"[""Allm\u00e4hlich"",""Unvermittelt""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"27";"SingleChoice";"tschq06";"[""GRADUAL"",""ABRUPT""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"54";"27";"en";"How did you perceive the beginning?";"[""Gradual"",""Abrupt""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"28";"SingleChoice";"tschq07-1";"[""LOUDBLASTOFSOUND"",""WHIPLASH"",""CHANGEINHEARING"",""STRESS"",""HEADTRAUMA"",""OTHER""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"55";"28";"de";"Stand der Beginn Ihres Tinnitus in Verbindung mit";"[""Knalltrauma"",""Verletzung der Halswirbels\u00e4ule"",""Ver\u00e4nderung des H\u00f6rverm\u00f6gens"",""Stress"",""Kopfverletzung"",""Sonstiges""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"28";"SingleChoice";"tschq07-1";"[""LOUDBLASTOFSOUND"",""WHIPLASH"",""CHANGEINHEARING"",""STRESS"",""HEADTRAUMA"",""OTHER""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"56";"28";"en";"Was the initial onset of your tinnitus related to";"[""Loud Blast of Sound"",""Whiplash"",""Change in Hearing"",""Stress"",""Head Trauma"",""Other""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"29";"TextString";"tschq07-2";"null";NULL;"0";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"57";"29";"de";"Wenn Sonstiges";"[]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"29";"TextString";"tschq07-2";"null";NULL;"0";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"58";"29";"en";"If other";"[]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"30";"SingleChoice";"tschq08";"[""YESWITHHEARTBEAT"",""YESDIFFERENTFROMHEARTBEAT"",""NO""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"59";"30";"de";"Haben Sie das Gefühl, dass Ihr Tinnitus pulsiert?";"[""Ja, im Rhythmus meines Herzschlages"",""Ja, anders als mein Herzschlag"",""Nein""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"30";"SingleChoice";"tschq08";"[""YESWITHHEARTBEAT"",""YESDIFFERENTFROMHEARTBEAT"",""NO""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"60";"30";"en";"Does your tinnitus seem to pulsate?";"[""Yes, with heart beat"",""Yes, different from heart beat"",""No""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"31";"SingleChoice";"tschq09";"[""RIGHTEAR"",""LEFT EAR"",""BOTHEARSWORSELEFT"",""BOTHEARSWORSERIGHT"",""BOTHEAQUALLY"",""INSIDEHEAD"",""ELSEWHERE""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"61";"31";"de";"Wo nehmen Sie Ihren Tinnitus wahr?";"[""Im rechten Ohr"",""Im linken Ohr"",""In beiden Ohren, st\u00e4rker im linken Ohr"",""In beiden Ohren, st\u00e4rker im rechten Ohr"",""In beiden Ohren gleich stark"",""Im Inneren des Kopfes"",""An anderer Stelle""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"31";"SingleChoice";"tschq09";"[""RIGHTEAR"",""LEFT EAR"",""BOTHEARSWORSELEFT"",""BOTHEARSWORSERIGHT"",""BOTHEAQUALLY"",""INSIDEHEAD"",""ELSEWHERE""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"62";"31";"en";"Where do you perceive your tinnitus?";"[""Right ear"",""Left ear"",""Both ears, worse in left"",""Both ears, worse in right"",""Both ears, equally"",""Inside the head"",""Elsewhere""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"32";"SingleChoice";"tschq10";"[""INTERMITTENT"",""CONSTANT""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"63";"32";"de";"Wie ist der Verlauf?";"[""Phasen mit und ohne Tinnitus wechseln sich ab"",""Der Tinnitus ist st\u00e4ndig vorhanden""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"32";"SingleChoice";"tschq10";"[""INTERMITTENT"",""CONSTANT""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"64";"32";"en";"How does your tinnitus manifest itself over time?";"[""Intermittent"",""Constant""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"33";"YesNoSwitch";"tschq11";"[""YES"",""NO""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"65";"33";"de";"Verändert sich die Lautstärke Ihres Tinnitus von Tag zu Tag?";"[""Ja"",""Nein""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"33";"YesNoSwitch";"tschq11";"[""YES"",""NO""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"66";"33";"en";"Does the loudness of the tinnitus vary from day to day?";"[""Yes"",""No""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"34";"Slider";"tschq12";"{""min"":0,""max"":100,""step"":1}";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"67";"34";"de";"Bitte beschreiben Sie die durchschnittliche Lautstärke Ihres Tinnitus";"[{""value"":0,""label"":""nicht h\u00f6rbar"",""icon"":""\uf026""},{""value"":100,""label"":""maximale Lautst\u00e4rke"",""icon"":""\uf028""}]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"34";"Slider";"tschq12";"{""min"":0,""max"":100,""step"":1}";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"68";"34";"en";"Describe the loudness of your tinnitus";"[{""value"":0,""label"":""not audible"",""icon"":""\uf026""},{""value"":100,""label"":""maximal loudness"",""icon"":""\uf028""}]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"35";"TextString";"tschq13";"null";NULL;"0";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"69";"35";"de";"Bitte beschreiben Sie mit eigenen Worten, wie Ihr Tinnitus normalerweise klingt";"[]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"35";"TextString";"tschq13";"null";NULL;"0";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"70";"35";"en";"Please describe in your own words what your tinnitus usually sounds like";"[]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"36";"SingleChoice";"tschq14";"[""TONE"",""NOISE"",""CRICKETS"",""OTHER""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"71";"36";"de";"Hört sich Ihr Tinnitus eher wie ein Ton an oder eher wie Lärm?";"[""Ton"",""L\u00e4rm"",""Grillen"",""Andere Empfindung""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
"36";"SingleChoice";"tschq14";"[""TONE"",""NOISE"",""CRICKETS"",""OTHER""]";NULL;"1";NULL;NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09";"72";"36";"en";"Does your tinnitus more sound like a tone or more like noise?";"[""Tone"",""Noise"",""Crickets"",""Other""]";NULL;"2018-08-20 11:59:09";"2018-08-20 11:59:09"
